"  [ 146.954060213111603, -38.10110136727792 ] "
"  [ 145.313498566794067, -36.425514177395762 ] "
"  [ 145.313498566794067, -36.425514177395762 ] "
"  [ 145.313498566794067, -36.425514177395762 ] "
"  [ 145.659871008931077, -35.969878023317776 ] "
"  [ 145.48836020072136, -37.548749779081803 ] "
"  [ 145.335821228771209, -38.03003690361507 ] "
"  [ 145.011774184090797, -37.767581790877308 ] "
"  [ 146.136097023191411, -37.966792169726396 ] "
"  [ 144.884759478615138, -37.802942690943681 ] "
"  [ 145.208459359094121, -37.991260589344819 ] "
"  [ 145.00857531655285, -37.817875394122503 ] "
"  [ 144.989537397257806, -37.897785094912251 ] "
"  [ 144.95860934901529, -37.691901417128193 ] "
"  [ 145.010878371680377, -37.90863101158272 ] "
"  [ 146.001798493903721, -36.924799990467562 ] "
